claim,dataset,seed,baseline,final_return,auc,first_success_episode,coverage,mbeta_hat,bound_residual,td_target_variance,gate_sensitivity_slope,reward_channel_dominance,critic_drift_rate
h1,MiniGrid-DoorKey-16x16,89,RND_fixed_beta,0.5885433466165745,0.5253219751462284,171.33920900441854,0.5478697907431299,0.3509534847799395,0.04409912381864749,0.13639957353109575,1.022095815912012,0.28077609800726006,0.19725973917081638
h1,MiniGrid-DoorKey-16x16,89,ICM_fixed_beta,0.5565018852295434,0.5207244790200721,166.37990440304915,0.47227422148602,0.3416695213950672,0.04409959633687508,0.12996777900758735,1.0124684062845128,0.24045967413529176,0.2332561821372529
h1,MiniGrid-DoorKey-16x16,89,ACWI_style,0.6310245594986691,0.5591496808714231,171.7118568532167,0.5745779191903584,0.31077181068157006,0.024222746691653668,0.12620648477091378,0.9007267304206824,0.3212502855802516,0.23535562055981815
h1,MiniGrid-DoorKey-16x16,89,Contrastive_always_on,0.6087700453203053,0.5347386247427585,181.04415114610416,0.5435483697047511,0.2978869917478488,0.04295134906039713,0.125285527285475,0.9525071897212471,0.30289277159650413,0.24594392437133872
h1,MiniGrid-DoorKey-16x16,131,CCGO_adaptive,0.738597524393104,0.7009575345686342,158.74966176689432,0.639304221007217,0.17771711310400354,0.03942702489314532,0.08698071718308291,1.0361816315190364,0.24143333016748136,0.20629696529771713
h1,MiniGrid-DoorKey-16x16,131,HER_SAC,0.628078070622302,0.5543590678601685,163.7230393959246,0.5784835875707897,0.31956011283602653,0.04304026481198929,0.1150094027580699,0.8041747220543647,0.3414091863862574,0.22805641352805542
h1,MiniGrid-DoorKey-16x16,131,RND_fixed_beta,0.5743114298047136,0.5361087067695706,177.79151133843573,0.5327883055928052,0.3551128129772593,0.02542460979645824,0.12869705635743453,1.0281814889438863,0.3251765240774244,0.30958517341537733
h1,MiniGrid-DoorKey-16x16,131,ICM_fixed_beta,0.5931928832457662,0.5406853810153683,169.17969840923416,0.5400055911457665,0.34313869236860534,0.039294477238192425,0.1353198218278288,0.982947898423131,0.2953363816531572,0.29421590182330754
h1,MiniGrid-DoorKey-16x16,131,ACWI_style,0.6002167583707638,0.5955056826203254,176.38189211387703,0.5752374066405217,0.30775461660623754,0.03654410701092481,0.11489126423499546,1.014088104888602,0.2667259846189737,0.23949516762606587
h1,MiniGrid-DoorKey-16x16,131,Contrastive_always_on,0.5929645019152254,0.5783790340095148,171.79103076042927,0.5480508474227185,0.29327268290146496,0.04099396552596003,0.12788341257235034,0.9907699478312253,0.2612449781058731,0.27662703749306666
h1,MiniGrid-DoorKey-16x16,197,CCGO_adaptive,0.7474587767538821,0.6833709994722662,166.26504002385855,0.6158620678236564,0.15826310863083784,0.029307838527084757,0.07185698921800474,1.0005138942844238,0.2406226283324901,0.20486968273629266
h1,MiniGrid-DoorKey-16x16,197,HER_SAC,0.5849066011496845,0.5879060739473075,173.79977773686204,0.6169285153249497,0.28474503787881195,0.02458045880050161,0.126036599250299,0.9783089629965106,0.33339653122384794,0.25021467351016874
h1,MiniGrid-DoorKey-16x16,197,RND_fixed_beta,0.5586806069052309,0.55709498120254,173.7004944116525,0.5325447391030192,0.3177669069632642,0.041337032069588865,0.1315000098552364,0.9153295528574136,0.26208116454111857,0.24601415566983326
h1,MiniGrid-DoorKey-16x16,197,ICM_fixed_beta,0.5375250493991651,0.5836040415716546,177.62998318390555,0.5360072396490096,0.3780765898652813,0.04542094388691803,0.12006406582585664,0.8843380186115086,0.32523640774386453,0.2702971423141412
h1,MiniGrid-DoorKey-16x16,197,ACWI_style,0.5913210542096735,0.5997053247308539,180.75974631290495,0.5953937230822991,0.27327139457583327,0.04513239079410837,0.10526423220003221,0.9856516530712544,0.32399085871479444,0.22644962226885498
h1,MiniGrid-DoorKey-16x16,197,Contrastive_always_on,0.569305013958031,0.5292747472062896,178.83694798397835,0.6139538209557465,0.31477904374857496,0.009947318342600264,0.12494442268905595,1.0320068436272527,0.28715160207154833,0.2176422049280219
h1,MiniGrid-FourRooms,11,CCGO_adaptive,0.7338512432359849,0.6592268620057586,163.15382724554357,0.6321796813143338,0.1503747273843413,0.05438761822184035,0.09439632531542932,1.033924698802074,0.22016700213538817,0.17680634876812096
h1,MiniGrid-FourRooms,11,HER_SAC,0.635794925204675,0.5607972812950073,166.40695366191858,0.5924640832164285,0.273042245969117,0.0362222806658201,0.11101809773856337,1.042195686861708,0.21230718274452737,0.21319680129309831
h1,MiniGrid-FourRooms,11,RND_fixed_beta,0.5430528569549953,0.5436324923448402,166.9720919091066,0.5800796282921598,0.32010391974109637,0.04561210944398668,0.13208211901721723,1.0526405013112874,0.3292458794140578,0.23726180649852638
h1,MiniGrid-FourRooms,11,ICM_fixed_beta,0.5628458735903437,0.5469702251523152,177.77158581772593,0.5828700456499011,0.3656154632555604,0.03441020556284825,0.11685356307527744,0.9775154302286623,0.336004858628975,0.24576755821447757
h1,MiniGrid-FourRooms,11,ACWI_style,0.5911667162982293,0.5566777421605842,177.07496126575427,0.6101161585402942,0.2734230004172864,0.03971538620961038,0.11948929135643885,0.876287675729244,0.31540396275652743,0.23783969172853658
h1,MiniGrid-FourRooms,11,Contrastive_always_on,0.5784016146610671,0.5547225627952397,168.60866140578182,0.5809514829563587,0.3032262113940539,0.05321593957475279,0.13335230469672918,0.9525544261225493,0.2845358495103215,0.21805254171023333
h1,MiniGrid-FourRooms,23,CCGO_adaptive,0.720217572993043,0.6686442669706423,170.1275515677355,0.6578192325739785,0.16180346349459787,0.03577103791257251,0.0836353635362902,1.0179366554287206,0.23450213646502555,0.1943283265152312
h1,MiniGrid-FourRooms,23,HER_SAC,0.6219433463734091,0.549481391869621,179.15299662460995,0.5598673097447768,0.29500404129489194,0.031363211238531176,0.13532033079628797,0.9338021410345725,0.2706461543059025,0.25013307379676475
h1,MiniGrid-FourRooms,23,RND_fixed_beta,0.5258505780360039,0.5565584288311747,185.2497823681437,0.5838042037979508,0.3463215446646838,0.03454022106884776,0.14531902227059712,1.055182143538036,0.3067786253373182,0.2551534293848695
h1,MiniGrid-FourRooms,23,ICM_fixed_beta,0.5527646625567816,0.507395356090191,184.1573757569269,0.4788386833994446,0.3404477898122153,0.03884380069674668,0.14359881184612738,1.1033162865558268,0.3247997132785544,0.24625435721704683
h1,MiniGrid-FourRooms,23,ACWI_style,0.6145625511577828,0.538767993661606,182.17963116013223,0.5633057402551179,0.2918936127501942,0.026009398995677946,0.12438638672379627,0.952505055420104,0.35469729841943737,0.22445456556358212
h1,MiniGrid-FourRooms,23,Contrastive_always_on,0.5906521548631394,0.5565609979117128,174.56963273643842,0.5636603758585813,0.3057765571271508,0.027765924995358807,0.11887839497928716,0.8758277770723887,0.2954892049932764,0.2785312905208763
h1,MiniGrid-FourRooms,47,CCGO_adaptive,0.708678465240699,0.6895317212592844,162.82804723735944,0.6391802558576867,0.14247336292407997,0.0342207982963172,0.09834630933846845,0.9510455311544487,0.2340017953173705,0.12600335464759704
h1,MiniGrid-FourRooms,47,HER_SAC,0.6333105948586247,0.6262096677695224,171.91620179000893,0.5356664830516208,0.26622362966653224,0.02471892896346936,0.12623353565300366,1.0217646037748433,0.26234539334022866,0.25368950751579494
h1,MiniGrid-FourRooms,47,RND_fixed_beta,0.5269057917569316,0.5175950558901089,183.5919715953099,0.5346637746310153,0.3291995221372639,0.02795417318106007,0.1341391145904041,1.0029984628599968,0.300002229227778,0.24343793958310492
h1,MiniGrid-FourRooms,47,ICM_fixed_beta,0.5691408323498448,0.5386536968753152,178.7017249218702,0.4775565246864213,0.3482240976016267,0.029774906729406348,0.13990356669240844,1.0267160552216406,0.28768626546949655,0.3179784149647351
h1,MiniGrid-FourRooms,47,ACWI_style,0.5807757818916184,0.5179098488326097,174.1150588769036,0.543536809485055,0.29587180902290894,0.023861959672276514,0.128521063564793,0.9663736130276265,0.2968382980657131,0.19526020119445406
h1,MiniGrid-FourRooms,47,Contrastive_always_on,0.5809711302040269,0.5648068843668095,164.69483901983995,0.6034104717272839,0.30447029872334513,0.02129328046547889,0.14870036226063674,1.069441984412389,0.33152290810334484,0.2535888911575463
h1,MiniGrid-FourRooms,89,CCGO_adaptive,0.7534067121632868,0.678364537384431,168.53126412984923,0.6329519274480628,0.1451899208380405,0.0253655657939769,0.08009050335494801,0.9354721972129483,0.2209766354321099,0.21096227016110058
h1,MiniGrid-FourRooms,89,HER_SAC,0.6330538354024045,0.5631167183332826,180.00043985698193,0.5639288918821508,0.29325261817804166,0.0377734883673356,0.10593681260911754,0.9107698149290553,0.23159126320166684,0.25095529388357113
h1,MiniGrid-FourRooms,89,RND_fixed_beta,0.5516619237477904,0.550896063655693,178.02636858607008,0.5515369963200661,0.353700492741834,0.057522461511045064,0.1260842347612989,0.9651352810991183,0.27015710264669274,0.25884730357287095
h1,MiniGrid-FourRooms,89,ICM_fixed_beta,0.5263908923102463,0.5243268339716926,167.93837642541422,0.5582750769583256,0.33997030476082907,0.03260654081314282,0.11658264354114227,0.9417468675569639,0.3198025829168892,0.26089434220935226
h1,MiniGrid-FourRooms,89,ACWI_style,0.6193169168615056,0.5803781186955069,173.5964489062739,0.5360043654026435,0.2866670198683976,0.03984472906688252,0.12141469028953396,0.8353313792989291,0.3082290404570378,0.2172003244391758
h1,MiniGrid-FourRooms,89,Contrastive_always_on,0.5713439293578877,0.5545722118721138,176.88879691215345,0.54897460602041,0.3077007710634643,0.045541340350603005,0.13633157361798326,0.9383212234457975,0.33778679240694603,0.21224196481745555
h1,MiniGrid-FourRooms,131,CCGO_adaptive,0.7327770331061759,0.7354522035943423,163.2733693893659,0.6694540394822887,0.142293995099117,0.021785425626087027,0.0893264692954588,0.9842588958606857,0.22250924033584688,0.16763896346263626
h1,MiniGrid-FourRooms,131,HER_SAC,0.6397447176196724,0.5636199565058784,180.1790307770772,0.49242615217641655,0.2909813599410738,0.03860274936239778,0.11863136634548783,1.09860492483495,0.2821841443512699,0.23956379109259163
h1,MiniGrid-FourRooms,131,RND_fixed_beta,0.5587690135868856,0.5453090742435586,166.39434723007602,0.5946923890815895,0.3338023294305371,0.04146723008717601,0.15045304101335646,0.9483026138744517,0.2363835947126875,0.25521215607259873
h1,MiniGrid-FourRooms,131,ICM_fixed_beta,0.5824802338042079,0.5140966086795333,179.025522700587,0.5770560951998269,0.36564480790088383,0.029737556708791434,0.1371724584964452,1.0225632456309002,0.25754961961172673,0.2658644824427677
h1,MiniGrid-FourRooms,131,ACWI_style,0.5887551746878767,0.5852199727884027,170.45050165125085,0.5482184693997806,0.29788843724579084,0.02726149865617488,0.11261189817925431,0.910321211631613,0.29289460651855354,0.2220554140470235
h1,MiniGrid-FourRooms,131,Contrastive_always_on,0.6221052077570949,0.5458762200070045,183.06129112806602,0.556756825093904,0.3241769200894921,0.02480288653710281,0.13287526520010312,0.9705523604738721,0.2964135236543731,0.2983815824327485
h1,MiniGrid-FourRooms,197,CCGO_adaptive,0.7619254926051195,0.6806341219676245,158.22075368719985,0.6293248986440372,0.14326059188211432,0.03382923237490871,0.09267008148463893,0.9762971660649494,0.25152044401647233,0.19666480048359022
h1,MiniGrid-FourRooms,197,HER_SAC,0.5833896525657112,0.5522715245935766,176.9874105352588,0.6094511383964599,0.2929791867244754,0.027754568773432586,0.1221837899376301,0.9105260957667882,0.2330491843851802,0.19094344307327576
h1,MiniGrid-FourRooms,197,RND_fixed_beta,0.5704650621949814,0.5586922977557605,178.465125007245,0.543581262739319,0.3455941512059283,0.04062914042740677,0.1362092489610082,0.8936974658307297,0.34658661495855525,0.2589297712668887
h1,MiniGrid-FourRooms,197,ICM_fixed_beta,0.5562878831418512,0.5654289021892158,169.24042035010817,0.48373955524672235,0.3353593643708264,0.019185803093677796,0.1285535278979824,0.950506977946584,0.26597951507835316,0.2968567933516278
h1,MiniGrid-FourRooms,197,ACWI_style,0.5712302071980185,0.5606649043549862,169.36210172475438,0.5775312080965731,0.3060905888248163,0.030614526890574235,0.12662272945462655,1.0380636025936516,0.27669032378219166,0.2287866019500406
h1,MiniGrid-FourRooms,197,Contrastive_always_on,0.6050168904460378,0.5786464726890072,181.40861987125206,0.5744325001935329,0.3234015293332526,0.031920699631258834,0.11522816846436261,0.8030012909027436,0.2741115070892882,0.26894917475405755
h1,MiniGrid-KeyCorridor,11,CCGO_adaptive,0.7155094558478731,0.6754634675432515,155.93483558562752,0.6629411470534804,0.15711303186978753,0.01262313554783619,0.09888493343605921,1.0543499945030095,0.1746135213669678,0.19986472642535924
h1,MiniGrid-KeyCorridor,11,HER_SAC,0.6278117199191566,0.5848593922016819,170.68902378716683,0.5576758378389046,0.27541536861968285,0.028938668560211985,0.1204256182288251,1.0385644840718873,0.3358729199263476,0.25850916108700284
h1,MiniGrid-KeyCorridor,11,RND_fixed_beta,0.5961675894930594,0.5671088031682341,175.49476964281828,0.5582125695671557,0.3263028733189493,0.04430653593318795,0.13576003182926394,0.9693762965107984,0.32446922576588244,0.2718816660205606
h1,MiniGrid-KeyCorridor,11,ICM_fixed_beta,0.5609616392552629,0.5260138077219986,175.89799102552323,0.5071989698824079,0.3416448859653625,0.028189792245569112,0.1394022867302275,0.9842072859325335,0.2641623415206,0.2398870415073466
h1,MiniGrid-KeyCorridor,11,ACWI_style,0.5521798320766199,0.5780131983764878,169.63311394207332,0.5581493452119746,0.2965136301013468,0.00424593100544015,0.13125847549232747,1.0627775157004609,0.2709305012439142,0.23754449021143512
h1,MiniGrid-KeyCorridor,11,Contrastive_always_on,0.5971708518133841,0.5419175619342377,180.76346220268158,0.4923814717123861,0.30054626479173707,0.03994502584279054,0.12025416899194419,0.9823420776057324,0.27052896035930263,0.22544318683639386
h1,MiniGrid-KeyCorridor,23,CCGO_adaptive,0.7384327079144573,0.661203500526805,156.90487939644302,0.639037970341216,0.15970838629303752,0.035313251653661185,0.09172253580105237,1.0011507065966883,0.2773501205043928,0.19758329775522174
h1,MiniGrid-KeyCorridor,23,HER_SAC,0.6226387902211435,0.5610035683446237,183.47027283993148,0.5682262175951563,0.2537426859873578,0.020506824841330467,0.11233810111605366,1.0076398793306731,0.29657638794178126,0.2076561014894241
h1,MiniGrid-KeyCorridor,23,RND_fixed_beta,0.542827158988435,0.5465202208514056,172.57411497852013,0.534187376383515,0.33141552358587223,0.0046829510363782315,0.12968265805447438,1.1030682039677562,0.3572543473416778,0.23699729381996376
h1,MiniGrid-KeyCorridor,23,ICM_fixed_beta,0.5709038307046991,0.5178416416336209,174.57518338978957,0.49524855444630056,0.34355416129760047,0.019100939485347176,0.14072855313171115,0.9810674874796991,0.2739267786806798,0.2490276761343547
h1,MiniGrid-KeyCorridor,23,ACWI_style,0.6286093464224484,0.5591054910598482,172.4991017051986,0.608674851506284,0.31247157463449343,0.04090001380901129,0.129668950554453,0.9836042944909409,0.2612752858333707,0.21666162773473574
h1,MiniGrid-KeyCorridor,23,Contrastive_always_on,0.5662840013383407,0.5661452208292915,185.772024119387,0.5684787519064614,0.3191959414419843,0.02833926200720376,0.13470527026946563,0.8592794218935504,0.26338716234501036,0.2743462437513839
h1,MiniGrid-KeyCorridor,47,CCGO_adaptive,0.7384690390359134,0.6580872291681026,173.65992276360132,0.6234728588795052,0.16352715445553365,0.035841006561586806,0.09148201823921234,0.9734038273752613,0.242417657768013,0.2007374577334573
h1,MiniGrid-KeyCorridor,47,HER_SAC,0.6346470967517173,0.5687998678090351,166.60428528579962,0.5543357139452058,0.27519509534674363,0.021701176240979565,0.1038397844703862,1.1213374548393955,0.3736387462542357,0.2133293449761093
h1,MiniGrid-KeyCorridor,47,RND_fixed_beta,0.5604243681779195,0.5363382980269176,179.55744378194268,0.5865376840978355,0.33039558576126266,0.029745674057368502,0.12774169553068582,0.8736060019566134,0.2191270423458907,0.21596764635319293
h1,MiniGrid-KeyCorridor,47,ICM_fixed_beta,0.5621369047240524,0.5338039315301445,174.0298214068379,0.5827963751394307,0.3303750794362796,0.041228010801683444,0.13779253194835667,0.9921016287325396,0.2699604854651761,0.25698561090342537
h1,MiniGrid-KeyCorridor,47,ACWI_style,0.5877491430491051,0.546038864735911,174.50784209249485,0.5571340917256791,0.3183260220329549,0.03992317084311628,0.1284627632574317,1.0238410346981608,0.29928774238204237,0.21628971617801945
h1,MiniGrid-KeyCorridor,47,Contrastive_always_on,0.6025165799100822,0.5500062018691079,169.50097599444538,0.5412816887094398,0.3106589943697389,0.03074575936898872,0.12383645512417273,0.8385557443998293,0.2714902684457241,0.23138469606319675
h1,MiniGrid-KeyCorridor,89,CCGO_adaptive,0.759111590638176,0.7244872891779832,161.16314426784837,0.6294793446130461,0.15204368928265172,0.017813157438351494,0.08648777263749505,1.0179889051952846,0.2521224423920232,0.22235691498001492
h1,MiniGrid-KeyCorridor,89,HER_SAC,0.6456328341449606,0.5986028267927023,175.0349386173145,0.6371160779364142,0.27577442746742875,0.030030571688098293,0.12222833355307228,1.0304442365291921,0.32442247106537997,0.22794440140603045
h1,MiniGrid-KeyCorridor,89,RND_fixed_beta,0.5775044842602534,0.5361898950068114,182.67505648942648,0.5736478024578454,0.34917503667162625,0.05074293824796376,0.14679867142546524,1.031043005372591,0.28042757956860614,0.28103076924476234
h1,MiniGrid-KeyCorridor,89,ICM_fixed_beta,0.524487820575463,0.5221991803495246,178.95785291650225,0.5336449366691851,0.3280055290324001,0.04519524586357172,0.15304665183273772,0.9854465779265693,0.28622648798537037,0.25008158648706397
h1,MiniGrid-KeyCorridor,89,ACWI_style,0.6088036095583408,0.5602295176077738,175.88188268068905,0.5384479414219728,0.30567362200432324,0.033419517563433726,0.12783485327158783,0.900408299064359,0.2708013280082768,0.2327679549190808
h1,MiniGrid-KeyCorridor,89,Contrastive_always_on,0.5470296701036623,0.5393039988209729,183.58080709067198,0.5810237391722712,0.30750779977877946,0.019987351074381356,0.13274548513015605,0.9619391714532171,0.28820850656836994,0.239218025181989
h1,MiniGrid-KeyCorridor,131,CCGO_adaptive,0.7522988403900503,0.6976928738307103,162.58769729436005,0.6820285926227717,0.1305213806300076,0.01991511079604709,0.08689982740600152,0.8997710412029495,0.21729956505961973,0.19626062527656066
h1,MiniGrid-KeyCorridor,131,HER_SAC,0.6213037068770096,0.6044680679140216,184.9851629907706,0.6217866484104061,0.28413437728780955,0.0267816471936578,0.12558883827483455,0.8455103215741879,0.27510682444913714,0.24165605006544347
h1,MiniGrid-KeyCorridor,131,RND_fixed_beta,0.5653570493604057,0.5565797281247102,172.92969327876386,0.565522419474262,0.3337378440911328,0.05682319606947529,0.13870472851768179,1.126018261851394,0.2129705741938699,0.25423841456062785
h1,MiniGrid-KeyCorridor,131,ICM_fixed_beta,0.5965094450306433,0.5124627860130235,177.90359760863083,0.5097107084657561,0.3455965827805492,0.008652338453009063,0.12471661998431051,1.061270458273571,0.2838589485661898,0.22502271498391602
h1,MiniGrid-KeyCorridor,131,ACWI_style,0.5866074606770754,0.5359785400133418,162.6260300455113,0.5679034063392754,0.298805393694262,0.036075233397036596,0.12143939135692626,0.9282148513564391,0.3184279636370182,0.22417999377910294
h1,MiniGrid-KeyCorridor,131,Contrastive_always_on,0.5922238186635305,0.5672061123396751,173.60523857635818,0.5825917559697915,0.2988842170096373,0.019431544588991503,0.12436076682928392,0.9997877682231491,0.2948667396535902,0.26357613381168726
h1,MiniGrid-KeyCorridor,197,CCGO_adaptive,0.7520640656310139,0.670135573721965,164.82173119303926,0.667138714507988,0.1494800125755319,0.04232699936104048,0.08564185509918497,1.0379220173472374,0.2409000203543386,0.18291698290145988
h1,MiniGrid-KeyCorridor,197,HER_SAC,0.6100862287461942,0.5735527318375847,170.0470849366306,0.6016018276771488,0.2803849718715052,0.02363999325013984,0.11435911149411868,1.0511888226783386,0.2958206005274587,0.16854779598459227
h1,MiniGrid-KeyCorridor,197,RND_fixed_beta,0.5703601683182979,0.5321989074875034,173.12101176012422,0.5727420691482005,0.3330697720072691,0.04156179416208083,0.12172217714603945,0.902828403147854,0.27553266757971245,0.30055136044769154
h1,MiniGrid-KeyCorridor,197,ICM_fixed_beta,0.571747318173502,0.5010160490187083,184.6094239649248,0.5799340006865868,0.3656873920086792,0.038638325653220826,0.13167906907582103,1.0317247740474969,0.32508798608233863,0.23551604110670757
h1,MiniGrid-KeyCorridor,197,ACWI_style,0.6112204857496885,0.5650892874060903,172.58356936761692,0.5638953145886871,0.3163130514230407,0.036097949617387465,0.12001789059586708,1.0315247693903964,0.2650133417132092,0.25675036968648307
h1,MiniGrid-KeyCorridor,197,Contrastive_always_on,0.572433735353774,0.586088235976469,176.02047462005507,0.591928548069694,0.3000307120077747,0.02328749014494725,0.13338718315721715,0.8972604448229928,0.32074787481195416,0.2614383153227913
h1,MiniGrid-MultiRoom-N6,11,CCGO_adaptive,0.7485125690446517,0.690426134248632,162.76882692340573,0.6789936379964718,0.14482743498731332,0.023365001998813053,0.10356483867989635,0.9256328086598152,0.26170831611312456,0.23231379879952083
h1,MiniGrid-MultiRoom-N6,11,HER_SAC,0.608717142390732,0.6105705083105615,167.73569556690302,0.5543220839027777,0.27065071280337144,0.033067570814593994,0.11964604278978862,0.8625204648611539,0.28829707380871733,0.25585195460886895
h1,MiniGrid-MultiRoom-N6,11,RND_fixed_beta,0.5489606895027963,0.5291790212935126,182.1842918150629,0.5569690427356927,0.33562085554423626,0.05729461107603959,0.12914206979635878,0.976234894865736,0.2654484002891149,0.27710540318811105
h1,MiniGrid-MultiRoom-N6,11,ICM_fixed_beta,0.5995404067468668,0.5364417060811714,177.84283445877233,0.5331442368048119,0.35243074005689723,0.03749995333767842,0.14521808923587637,0.9598548023865862,0.2786298827858663,0.23164299937842853
h1,MiniGrid-MultiRoom-N6,11,ACWI_style,0.6044965356277651,0.5516185564775803,175.4056745426283,0.5708477624915026,0.31067259063814845,0.044900576444519856,0.11824489555156889,1.0223928600899832,0.28710959670355435,0.2287334069924574
h1,MiniGrid-MultiRoom-N6,11,Contrastive_always_on,0.5726581049845022,0.5376698257365775,172.68601593498948,0.592559522386033,0.3222047141342677,0.05734656821614131,0.10980005956289918,1.15335308715533,0.30211642198194893,0.24621051162981883
h1,MiniGrid-MultiRoom-N6,23,CCGO_adaptive,0.7533420006542183,0.7080588782615138,175.79796237678286,0.6780209296260957,0.16236569763232167,0.024431168122747173,0.10969879559073506,1.0089827576985488,0.2583829615146867,0.1614560762199498
h1,MiniGrid-MultiRoom-N6,23,HER_SAC,0.6535822880260544,0.572536166047698,177.1753249179793,0.6115666505299877,0.3015648939995402,0.034262609976782564,0.09733345229154229,1.0036523136486457,0.2692632573457838,0.28847056976259783
h1,MiniGrid-MultiRoom-N6,23,RND_fixed_beta,0.5324793630413275,0.5036461155391855,164.85562456264077,0.6005600953155731,0.3541463679564704,0.03335872392900174,0.13566732532041287,1.034182280167009,0.25306525027706334,0.3105178313720439
